,0
119,돈내고 보는데 광고도 띄우네 대단하다 심지어 실시간 방송도아닌데
120,단연 최고
121,너무 불편하고 아직 초창기라서 그런가 볼만한것도 없고 오프닝 넘기기 재생속도도 없고 오디오설정에 중국어가 없다라고요.일본어는 있는데
122,장난합니까~?아니다시보기돈받는건알겠어요~근데실시간도돈을받으면...ㅡㅡ정말너무한거아닌가요~?티비엔쇼보려고다운받았다정내미훅떨어져삭제하고티비로보렵니다..앱은별하나도아깝네요..
123,굳
124,Jtbc는 실시간이 안보여요 들어가도 안되고 안되는 이유가 있나요?
125,화질을 마음대로 조절할 수 있는 옵션이 생겼으면 좋겠습니다
126,시청중인 컨텐츠 삭제하는 버튼 좀 만들어주세요 시리즈물을 실수로 눌렀는데 계속 떠서 불편해요
127,굳
128,"영상 시청시 검은화면에 소리만 나오는 증상은,, 눈보호모드/편안하게화면보기/블루라이트모드 이게 켜져 있으면 그러네요,, 것도 모르고 쿠팡탓만 했네요,, 죄송합니다!"
129,화질 설정 좀 할 수 있게 해주세요.
130,최고입니다.
131,최고
132,실시간방송
133,시청중인 콘텐츠가 없어졌다가 나왔다가 난리네요 수정 부탁드립니다
134,실시간 공중파 방송 없음
135,있던 영화가 사라짐. movie is gone...?
136,실시간 티브 서비스
137,"넷플리스와 비교하여 외국어 더빙 이나. 자막이. 현저히 부족하던지 전혀 안되어. 답답하고.짜증남. 왜. 이탈리아영화를. 영어로도 들을수있어야. 됨
또한. 미국영화를. 한국어로 들을수. 있게. 만드세요. 이거. 못하면  망해야됨"
138,최고만점!!
139,"시청중인 콘텐츠 리스트에서
삭제하는 기능이 없어서 불편합니다.
기능 추가해주세요~"
140,너무좋아요 이제 고삼 올라가서 정신차리려고 아쉽게 이번년은 결제를 못하지만 성공해서 웨이브다시 결제하겠습니다 ㅜ저 근데 자막 기능하나만 추가해주셨으면 좋겠어요..!
141,최고...!
142,빨리보기 불가능. 목록정리 불가능
143,굳
144,최고에용~~
145,최고^^
146,"폰으로 볼때 자막이 너무 커요..
영어 자막일땐 그래도 크기가 괜찮은데 한글 자막만 되면 크기가 너무 커서.. 이것만 폰트 크기를 줄여주시면 너무 좋을 것 같아요.
자막이 너무 커서 오히려 읽기가 힘들거든요.. 장면에 집중하기도 힘들고요"
147,화질이 자꾸 끊기고 1080으로는 아예 재생이 안 되고 720으로 봐도 자꾸 보는 내내 끊겨서 볼 수가 없을 정도예요
148,시청 중인 컨텐츠에서 삭제하는 것 좀 만들어주세요
149,장사 안된다고 징징대지 말고.. 한글자막 좀 갖춰주세요. 선택 할 수 있는 옵션이 너무 적습니다. 자막없이 오디오로만 퉁치려고 앵간한 애니 시리즈는 더빙판만 들여놓은거 너무 실망스러움
150,화질 별로임
151,화질개구림ㅋ
152,시청 도중에 너무 많이 튕기네요.
153,멀쩡하던 영화가 갑자기 일부기기에서만 노출 안되는 건 또 뭐죠? 지브리 시리즈 등 찜해놓았던 대부분의 영화들이 탭에서는 검색을 해봐도 안나오네요. 종료작 아닌걸 확인했는데도 말이에요. 다시 앱 깔아보는 등 별짓거리를 해도 해결안되는데 정말 최악이네요
154,굳
155,시청중인 콘텐츠 삭제가능할수있게해주세요 다봐야만 지워져서 불편합니다
156,최고에요 쿠팡👍🏻👍🏻👍🏻
157,굳
158,심슨32 E.2 보다가 중간부터 검은화면에 음성만 나오더니 모든 영상이 검은화면에 소리만 나오네요. 디플 라디오였나요? 요즘 라디오도 보.라.인데ㅡㅡ+ 라디오앱보다 못하다니
159,화질 개선좀
160,화질 선택도 못하게 하는디 화질 좋게 볼려고 돈 내는게 뭐가 있을까
161,시청중인 목록이 안떠서 프로필 한 세번 삭제하고 만들어도 안고쳐지는데 뭐 어쩌라는거죠; 돈 내고 시청하는 건데 요금은 비싸지면서 성능은 점점 구려지는 듯
162,굳
163,디즈니가 서버가 이렇게 안 좋아도 되는 건가? 싶을 정도로 서버가 너무너무 안 좋음 들어가면 로딩 오분 넘게 걸린 것 다수 내 노트북이 느린건가 싶어서 넷어쩌구랑 라어쩌구도 켜봤는데 바로 되서 어이없음 짝퉁디즈니인가 싶은
164,최고
165,시청목록에서 안보는거 삭제 못하네요?
166,"Ui로 자막, 오디오 설정 불편함. 화질설정도 없음. 심지어 서비스 다른 나라보다 늦게 들어오면서 자막 이상하게 해놓음. 고객과 소통할 생각없음. Pc충이면서 진짜 논란될만한 것들에는 입 꾹 닫음."
167,굳
168,화질 장난아니네요
169,시청목록에서 삭제 계속 하는데 껏다 키면 원래대로 삭제 안된상태로 계속 있네요 어휴..
170,굳
171,시청하다 중단한거 목록에서 빼고싶다. 자막 구림.
172,최고의 앱!!
173,최고
174,"최고의 가성비 OTT!!!
혹시 애플티비에 깔리는 어플로 출시하실 계획은 없으신가요?"
175,직관적이고 사용이 편리해요.
176,시청하기에 너무 좋아요
177,굳
178,굳
179,"TV조선 9시 뉴스, 7시 뉴스 실시간 방송이 안되는 이유가 뭘까요??? 갑자기...."
180,티빙에 메인채널이 티비엔 아니었나요.. 실시간도 유료로 바뀌다뇨 ㅠ
181,최고
182,화질 깨지는거 좀 빨리 고칩시다
183,화질 설정해도 화질구지로나옴..
184,"안깔아져요,,저장공간 이런거 다 확인했는데,,ㅜㅜ"
185,방금 깔았는데...실시간 유료결제는 심하네요;;;
186,"제발 애니를 볼때 마다 느끼는데 왜 마지막 시즌이 없는거죠?
아니; 그리고 계속 화면이 멈추면서 오디오만 들리고 오프닝 건너뛰기를 눌러도 안 넘어가고 터치도 안돼요..;; 이런식이면 다른어플을 깔았죠;; 애니말고도 영화나 드라마볼때도 당연하듯이 화면이 멈추네요 진짜 이런점들에서 별 다깎였고요^^마지막시즌 없는거 진심 선넘으셨어요^^궁금해 죽겠는데 왜 없죠???"
187,최고에요~
188,실시간 동영상 무료라면 설치하고 티비랑 이어서 보겠는데 유료라 티비 같이 못 보겠어요 3분만 보고 구매해야되는 부분이 좀 그러네요 개선 업뎃 부탁!
189,실시간 보기 화면깨짐
190,굳
191,굳
192,최고
193,"장점 ㅡ 한국콘텐츠에 한국자막 달아줌 단점 ㅡ 검색기능:외부사이트에서 찾아보는게 더 속편함. 자막:등장인물과 나레이터가 떠들고 있어도, 화면에 글자가 떠도 자막이 안 뜨는 경우 꽤 있음+오역:말해뭐해+애니 op,ed 가사:있으면 되려 신기한 일이므로 기대를 말아야 함. 자막싱크:두줄짜리 자막이 0.1초만에 사라지기도 함. 그림의 떡:오디오 코멘터리를 원어로 주고 자막은 안 줌. 종료 예정일:각 콘텐츠에만 공지함.. 종료 예정일 모아서 알려주는 외부사이트에도 안 뜨는 경우도 많고, 공지없이 사라지기도 함. 성인인증:해봤자 인체,절단면,담배에 블러처리된 깝깝한 화면을 줌"
194,축구 중계
195,Skt 이용자들 실시간도 못 봄? 걍 티비로 보는게 낫겠네요
196,홈 화면에서는 괜찮은데 옆 카테고리인 영화나 실시간 으로 들어갔을때 스크롤이 부드럽지 않고 렉이 엄청 심함 개선이 앱 안정화가 많이 필요할듯 보임.
197,웨이브 실시간티비 무료했는데 왜 돈으로 내야지볼 수 있어요 실시간티비는 무료로 해주면아돼요 다른티비는 무료로하는데 여기는 또 왜 돈을 내야지 볼 수 있어요 진짜 불편해요
198,화질안좋은데 광고 졸라 보면서도 무료라 본건데 유료면 웨이브에서 이용할게 뭐있다고
199,중계만 하는 실시간 TV도 유료라는 쓸모없는 앱 설치 마세요 최악 입니다
200,최고에요~~~^^
201,시청 못했던 부분을 다시 볼 수 있어서 좋아요
202,최고
203,와 사전에 아무런 예고도 없이 갑작스럽게 실시간을 유료로 바꾸네요;; 정말 너무하시네요ㅡㅡ
204,최고임
205,하이호 일곱난쟁이 왜 없어요???
206,시청 중 홈키 누르면 자동 팝업화면으로 뜨게하는 옵션 추가해주세요
207,시청기록삭제 좀 추가해주세요
208,이 어플 오디오모드 지원되는건가요? 못찾겠어요 Vod 일하면서 들으려고 합니다. ㅠ.ㅜ
209,최고입니다.
210,엄마가 라디오만 무료로듣고있었는데 이제 다 유료로 ㅋㅋㅋ 이용하던사람들도 다없어지것네
211,최고근데귀칼이새로안나옴
212,화질 최고다.
213,편리하고 재미있어요
214,굳
215,실시간무료 티비를 봤었는데 이제는 유료네요ㅠㅠ
216,시청 중 콘텐츠 삭제해도 왜 안 없어지죠...? 다 본것들도 계속 라인에 남아 있어서 보기 힘들어요!
217,실시간티비도 유료이라니 참나
218,"만족하고 잘보고 있어요. 근데 태블릿으로 볼때 다른 작품은 잘 나오는데 왜 백설공주만 화면이 안나오고 오디오만 나오는거죠? 그래서 백설공주 ost 감상중임,,"
219,편리이용 좋습니 다
220,최고중에 최고입니다
221,만족해요 아주많이
222,화질은 최대화질이라 되어있지만 막상보면 화질이 생각보다 떨어짐
223,시청하기 좋습니다.
224,실시간방송 무료도 아니고 유료네 쓰글 안본다!!
225,Skt연동땜시 써볼라 했더니 라이트라고 볼수있는줄알고 클릭하면 이용권구매하라뜨네 장난하는것도 아니고 라이트도 볼수있는것만 묶어놔야지 이거 뭐하는건지.ㅡㅡ
226,왜 갑자기 실시간을 보는데 이용권구매가 생겼죠? 너무 아쉬워요ㅠㅠ
227,"전에는 안끊기고 잘 봤었는데
얼마전부터 너무 심하게 끊기네요
실시간만 그런줄 알았더니 다른 것들도 다!!!
하도 끊겨서 내 폰이 문제인다 하고 넷플릭스로 가보면 안끊기고 겁나 잘 나오는데 그런거 보면 분명 티빙 어플에 문제 있는 거임!!!"
228,최고
229,굳
230,최고야 ~^^
231,시청할 프로필 선택 안되고 그 뒤부터 진행안됩다. 확인부탇드립니다
232,화질 자동 저하가 계속 일어나는데 무슨 이유일까요..
233,시청내역이 안뜨는데 이게 뭐죠???ㅠ
234,화질이 더 좋아지면 좋겠어요
235,왜 갑자기 실시간이 유료가 된건지 이해할수 없네요
236,굳
237,굳
238,최고최고
239,시청할만한 것이 너무 없다...
240,TVN에서 방영하는 영상들을 언제나 자유롭게 볼수있고 실시간 TV도 되는점이 넘 좋아요. 그리고 티빙톡도 다른 OTT와 차별되는 장점인 것 같습니다. 실시간으로 사람들이랑 얘기하면서 볼 수 있는게 재밌는것 같아요. 흥행하세요!
241,편리하고 좋아요 넷플을 넘었으면 좋겠네요
242,리뉴얼 되고 영상도 잘나오고 사용하기 훨씬 편해졌어요.
243,"티빙최고~실시간,바로보기 너무 좋아요!!"
244,최고에요 여러장르도 많구요
245,어린이 어르신할것 없이 누구나 편하게 사용할수있는 인터페이스와 다양한 영상을 실시간으로도 볼 수있어 좋아요
246,최고예요!! 티빙 최고!!
247,실시간 티비시청도 편하고 VOD 올라오는 속도가 빨라서 좋아요 플레이스테이션에도 TV 어플이 출시되면 좋겠습니다.
248,최고에요!!!
249,다양한 콘텐츠 사용자편의 구성 고화질의 영상 최고입니다!
250,"주로 실시간 방송볼때 이용중이에요. 
가끔 끊기는 현상만 좀 보완되면 좋겠어요."
251,동시접속 4명 가능 가족끼리 따로 떨어져도 부담 없이 사용 용이하고 좋아요~! 👍🏻
252,엑사세때문에 구독하게 됐는데 재미있는 컨텐츠가 많아서 좋네요! 아마 매월 구독할거 같아요!! 런닝맨 요즘 자주 보는데 웨이브에 있어서 너무 좋아요!!
253,다양한 컨테츠와 특히 실시간 티비기능과 독보적인 웨이브만에 독점 컨테츠 모두 좋습니다👍 👍 👍
254,좋은 콘텐츠가 많이 추가되고 있음. 더 많은 콘텐츠가 올라올 수 있도록 활발한 투자가 있었으면 좋겠음.
255,"퀵 vod 등 콘텐츠가 다양해서 좋습니다:) 
실시간 채널 airplay 기능도 추가됐으면 좋겠어요"
256,"실시간 티비, 드라마 콘텐츠, 영화 등 티빙은 사용하기 편리하게 만들어 져서 매일 끼고 살고 있습니다.  
사용자 편의성 중심으로 앱이 설계되어 있어 앞으로도 다양한 양질의 콘텐츠 많이 업로드 해 주시고! 티빙 화이팅입니다!!!!"
257,화질이며 라이브로 보는거며 더 좋아지고 있는 것 같아 매번 애청하고 있어용 !!! 폰으로 뭐든 자주 봐서 티빙만 보는데 좋아영 !!!
258,"실시간으로도 관련 채널들 보여줘서 본방사수 가능하고 재밌고 다양한 컨텐츠들도 많아서 늘 챙겨봅니다~~!
강추!!"
259,시청할 때 화면 조작도 편하고 좋습니당! 폰으로 볼 때 다른 앱 사용하면서도 동시에 시청 가능하면 좋을 것 같아요...! 감사합니다 :)
260,제 최애 프로가 다 티빙에서 하고 있어서 티비안보고 티빙만 보내요. 실시간 좀 늦어져도 중간부터안보고 바로 첨부터 볼 수 있어서 시간에 안쫓기고 봐요.
261,최고에요~
262,"TV가 없어서 실시간 라이브 보기가 어려웠는데, 덕분에 다양한 채널도 볼 수 있고, 올림픽 실황중계도 챙겨볼 수 있었습니다. 지금은 제가 좋아하는 엑사세 시리즈들, 특히 엑사세 시즌3를 볼 수 있어서 너무 좋습니다. 계속해서 편하게 찾아 볼 수 있다는 것도 좋아요. ^^"
263,최고
264,티빙에 볼것도 많고 자유롭게 볼수있어서 너무 좋아요!! 만족
265,앱 편리하게 잘 돼 있고 지난 방송시청은 물론이고 실시간으로 하는 방송까지 끊김없이 동시시청이 가능하더라구요 짱좋음! ㅎㅎ
266,티빙 잘 사용하고 있습니다. 저는 불편함 없이 보고있어요. 그런데 티빙에도 실시간 채팅 기능이 있나요? 티빙톡으로는 공지만 보이는데 채팅 기능이 있는데 못찾는 거라면 이 부분 개선이 필요해보입니다. 좋은 콘텐츠 많이 올려주세요!
267,고화질 1080P+4K 화질 자체가 남다르네요! 굳!!!
268,빔에서도 바로 고화질로 즐길수있어서 좋습니다.
269,최고
270,실시간tv도 나와서 정말잘보고 있습니다. 동영상 재생시에 풀화면으로 비율이 고정되면 더 좋을거 같습니다.
271,매번 잘보고 있습니다 ㅎㅎ 라이브기능(타임머신)있어서 편하게 검색하며 볼 수 있어 좋아요. 또 채팅도 볼 수 있어서 ㅋㅋ재미집니다. 한가지 아쉬운점은 프로필 설정을 따로할 수 없다는 점...인데 크게 상관은 없네요 ㅎㅎ
272,리뉴얼된 티빙 너무 편하고 좋아요! 콘텐츠는 말뭐..♡
273,최근 볼게 많아진 것 같네요!!
274,최고에요
275,화질도 좋아지고 자체 컨텐츠가있어서 좋습니다
276,"보기 편리하고 좋습니다 요즘 거의 티빙만 보네요~!
실시간이나 퀵vod도 만족스럽고
시리즈나 영화들도 잘 즐기고 있어요"
277,디자인도 깔끔하게 보기 편해졌고 재밌는 콘텐츠들이 많이져서 너무 좋아요😊 실시간TV로도 많이보고 그동안 보고싶었던 콘텐츠들 몰아서 보는데 너무 좋네요~! 추천합니다~~
278,최고에 기쁨
279,"실시간으로 보는데 계속 꺼지는 현상 뭔가요?
제일 낮은등급이여서 튕기나요?? 진짜
몇번짼지 화나네요ㅠㅠㅠㅠ"
280,화질도 좋고 볼거리도 많았습니다
281,동시자막 기능이 있으면 좋을것 같아요! 외국 영화나 드라마 볼때 편하고 새로운 단어들도 배울 수 있는 기회가 될것같아 의견 남깁니다 자주 그런건 아니지만 가끔 자막이 딜레이 되거나 딜레이 된게 그 다음 자막 이랑 싱크를 맞추려다보니 자막이 나왔다가 곧바로 사라지는 경우가 있어요.... 이것만 고치면 더 좋을것 같습니다!
282,편리한 앱 감사 합니다
283,실시간으로 보고싶은것도보고 못본것도 빨리보고 좋아요*^^*
284,흥미를 끌수있는 하이라이트 영상이 있었으면 좋겠다.네이버나 다음에 올라오는 하이라이트 영상처럼 말이다. 풀버전은 길어서 좀 부담스러운데 하이라이트영상을 보다보면 자연스럽게 흥미가 생길거같다. 그래서 풀버젼도 잘볼거같다
285,나에게 맞는 취향저격 티빙 최고
286,화질좋고 볼거리가많아요 ㅎㅎ
287,두말하면 입아픔 그냥 무조건 나에겐 딱이다 집에 티비가필요없습니다 웨이브 최고
288,무소식
289,네이버나 다른 곳처럼 하이라이트 영상도 있었으면 좋겠어요.
290,왜 실행이 안되는건지 꽁짜도아니면서
291,10초 스킵시 재생바화면때문에 너무보기불편합니다
292,정말 잘 이용하고 있습니다. 근데 삼성 스마트티비에 실시간 tv 볼수있게 해주심 안되나요?
293,최고
294,아.... 업뎃 이후로 내가 보던 프로하고 실시간 순위가 너무 밑으로 갔네요 ㅠㅠㅠ 불편..
