,0
72,우선 디즈니 고전 드라마랑 영화 더 많이 넣어주시고 제가 좋아하는 pair of kings가 없네요ㅠㅠㅠ 꼭꼭 올려주세용 그리고 좀비스3도 기대해봅니다 ㅎㅎㅎ
73,음 영상 세로모드도 만들어주시면 감사할것같아요....근데 이건 원래 기본옵션 아닌가싶네요?
74,"음...자막이 너무..파파고를 돌린 느낌이네요. 그리고 넷플에서 건너오시는 분들도 계시는것 같은데, 애니메이션은 미국 애니. 말그대로 디즈니 애니만 나옵니다. 뭐..ㅎ 디즈니 만화를 원하시는 분들이라면 추천드립니다."
75,재밌는 컨텐츠가 많습니다 특히 국내 드라마 예능 좋아하시는 분들에게 강력 추천합니다 애니메이션도 많아서 옛날 애니메이션 정주행 하는것도 매우 좋습니다 웨이브 오리지널도 좋구요 요즘은 피의게임 재밌게 보고 있습니다 웨이브 구독한 뒤로 주말이나 퇴근 시간을 웨이브로 많이 보내고 있습니다 삶의 질이 올라간 느낌이에요 정말 닉값하는지 제 인생에 하나의 물결을 일으키고 있다고 생각합니다 넷플릭스나 왓챠 등등 많은 플랫폼이 있지만 국내 컨텐츠나 애니메이션 그 밖에 피의게임같은 웨이브만의 컨텐츠를 좋아하시는 분들이라면 웨이브를 강력 추천합니다 국내컨텐츠 애니메이션 만큼은 웨이브 따라가는 플랫폼 없습니다
76,"Hbo시리즈 많아서 좋아요 잘보고 있어요 :) 석세션 시즌2,3도 업로드해주세요~~!!"
77,다양한 볼거리로 시간가는줄 몰라요~~ㅋㅋ
78,영화 보면서 쉬는데요 컨텐츠가 많아서 매우 만족하며 이용하고 있어요^^
79,완전 좋아요~~~^^
80,"여러분 디플은 넷플을 대신하긴 어려워요. 하지만 디즈니,픽사,마블,스타워즈 팬이라면 오리지널,상영과 동시 시청가능등 매우 만족하실거라 봅니다. 그리고 자막은 설정에서 구글 자막 설정 수정하면 됩니다. 컴퓨터는 자막설정 할수 있던데 폰은 아쉽네요 +) 넷플릭스도 결제해야만 볼수 있는데 왜 디플에만 그러는거지..?"
81,말이필요없어요~~~굿
82,최고입니다 추천
83,재미있는 영상이 많아 골라보는 재미가 있네요~ 예전 드라마도 많아 다시 보는데 너무 좋네요~
84,재미에 재미를더한 웨이브~
85,스타워즈 보려고 기다리다 가입했는데 도데체 starwars visions는 어디에 있는건가요? 찾아볼수가 없던데... 근데 저장기능 사용하면 엡이 튕긴다는 분 있던데 저는 잘사용중입니다
86,"넷플릭스에는 없던 애니메이션이나 컨텐츠들이 많아서 좋았고, 이용권도 그렇게 비싸지도 않아서 좋았어요. 그리고 FHD이상이라서 더 선명하게 볼 수 있어서 너무 좋아요!!"
87,10년전 첫째 낳기전 뱀다를 시즌5까지인가 봤었는데 임신하면서 태교땜에 참고 그만보게 되였다가 최근에야 쿠팡플 레이에서 있는걸 보고 보기시작해서 8까지 다 봤네요 너무너무 좋았어요 . 대박에요 👍시즌1부터 8까지 있는곳을 찾지 못했었는데 여기서 그것을 이뤘네여. 오리지널스 시즌도 함께 올려주시면 더더더욱 좋을거 같아요 ㅠㅠㅠㅠㅠ 너무너무너무 보고싶어요
88,다양한 컨텐츠를 쉽게 즐길수있어서 애용하고있습니다.
89,오월의 청춘 원해요 내놓으세요 플리즈
90,영화나 드라마가 제 취향대로 볼 수 있다는 점이 너무 좋네요.. 겨울에 전기장판 위에서 귤까먹으면서 볼수있는 어플이 있어서 행복합니다^^
91,"시즌이 긴 드라마들 자막은 번역가 통일했으면 좋겠어요. 몇 편 보다보면 갑자기 존댓말로 바뀌고, 인물 관계가 이상하게 되는 경우가 꽤 있네요. 어떤 프로그램은 말도 안되는 자막이 있기도 하고, 자막이 빠르거나 밀리기도 합니다. 자막팀 검수가 필요해보입니다. 한국지사가 있는걸로 알고 있는데, 준비가 안된채 오픈된거 같네요."
92,최고입니다
93,마블은 사랑입니다.
94,마블 영화중 제일 갠취 앤트맨
95,"뷰티인사이드 드라마도 추가됫으면 좋겟어요

제가 좋아하는 드라마라서요ㅜ"
96,와우 정기결제 수단 바꾸려고 들어갔다가 혜택에 이런거 써 있는거 보고 이제 알았음…. 진작 볼걸ㅠㅠ
97,최고의 뮤지컬
98,재미있는 이야기들이 많이 있어요
99,마블 빠돌이로서 너무 좋네요~~ ㅎ
100,최고
101,마블드라마롸 애니 제미있게 보고있어요. 시간가는즐 몰랐네요 ^^
102,영화보다 애니가 더 낫네요^^다음 시즌이 기다려집니다^^
103,재미있는 컨텐츠가 많아서 정말 좋아요~♡
104,볼 만함 빠져있는 게 많긴 한데... 마블 시리즈 중에 스파이더맨 좀 추가해줬을 좋겠음
105,다양한 장르별로 볼거리가 많아서 돈이 안아까움 ㅠㅠ 요즘 웨이브때메 현생이 행복해요!!!
106,애니메이션을 보기 위해 다운 받았습니다. 영상갯수도 풍부하고 UI도 편해서 좋았습니다.
107,"웨이브 하나면 지상파 드라마랑 예능도 맘껏 볼 수 있고, 영화까지 있으니까 너무 좋아요.특히 Quick VOD 최고! 메뉴도 군더더기 없고 깔끔하게 구성되어 알지못했던 숨은 띵작까지 찾을 수 있어 좋네요.토종OTT 웨이브 흥해라~"
108,"wavve 어플을 잘 사용하고 매우 만족하고 있으며, 별5개이상보다 드리고 싶지만 더 드릴 수 없다는 점이 아쉬워요. 그리고 혹시 초신성 그란세이저, 가면라이더 드래건, 맥스맨 애니메이션을 추가해주셨으면 좋겠습니다."
109,다양하게 볼수 있어서 좋았어요 ㅎㅎㅎ
110,영화부터 미드까지 볼거리도 많고 구성도 탄탄해서 좋네요 실시간도 가능해서 잘사용하게될거같습니다
111,볼거리가 많네요
112,디즈니 컨텐츠의 질이야 의심할 여지가 없으나 엑박에서 어플실행시 버벅임과 자막의 부실함은 개선이 필요합니다.
113,봄 감사
114,너무 좋아요~~~~^^♡♡♡
115,영화많이 없는거랑 자막만 좀 어떻게 해주면 다 괜찮음
116,다양한 컨텐츠를 편리하게 즐길수있어서 좋아요
117,과거 종영된 드라마 쉽게 찾아서 볼수있어 너무 좋아요~
118,가입하고 화면자체가 연결이 안돼요 몇번을 지우고 삭제하고 회원가입만 하고는 화면자체가 캄캄하게만보이고 먹통입니다. 해결부탁드립니다.
119,재미지게잘보고있음
120,다양하게 볼수있어 좋아요~
121,다양한 볼거리에 편리하게 이용할 수 있어 만족해요
122,보고싶던 드라마 잘봤어요
123,재미있게 활용할수있어 좋은거같아요
124,다양한컨텐츠가있어서좋아요
125,다양한 노래가 있어서 좋은 거 같아요!
126,재미있다
127,원피스 더빙 말고 자막좀 ㅡㅡ
128,쿠팡 와우 회원인데 오늘 처음 알고 깔아서 보는데 진짜 네땡 티땡 왓땡 보다 좋은거 같아요. 고화질도 빨리 전환되고 지금하는 드라마들도 있고... 볼거 너무 많아요!!!! 진짜 최고!!!!!!👍🏻👍🏻👍🏻 개발자님 최고입니다!!!!!🤍
129,재미가 있다.
130,어플이 실행도 안되고 자막도 싱크 안맞는게 너무 많고 티비 애니메이션 시리즈는 자막도 없고 대체 하는게 뭔가요
131,영화를 고르면 만약 시동을본다 하면 시동볼라고 시동을 눌렀는데 다른영화가 뜨고 핸드폰을 껏다가 다시켜도 않돼고 저만 그런가요?
132,재미있어요
133,다양한 컨텐츠 많아여~
134,다양한 컨텐츠가 많네요
135,영화~드라마 볼거리가 많아 만족합니다.잘보겠습니다
136,재미있어요 ~~^^
137,재미있어요
138,재미있어요
139,예전에 HBO 드라마 자주 봤었는데 웨이브에 HBO 오리지널 콘텐츠가 많다기에 설치했습니다. 자주 보던 드라마는 물론 새 드라마도 재밌는 게 많아 좋네요. 요즘 웨이브 오리지널 콘텐츠도 볼만합니다.
140,다양한구성좋아요
141,다양함이 좋아요
142,국내 1티어
143,공개예정 컨텐츠를 만들었으면 좋겠습니다. 뭐가 언제나오는지 알아야 기대감도되고 그럴텐데 컨텐츠가 너무 없어요. 전부 다 봤던거라서 소비자의 흥미를 이끌지 못하네요.해외에 있는 마블 드라마 왓이프조차 없어서 그런지 다시 해지할까 고민되네요.
144,애용하는 앱중하나에요~~~~ 사용하기편하고 좋아요~~~
145,예능 보려고 깔았어요~ 앱으로 지하철에서 보면 딱 좋아용🤗
146,웨이브에서만 볼 수 있는 오리지널도 있고 좋습니다. 웨이브에서만 볼 수 있는 콘텐츠 더 늘려주세요~
147,매번 놓친 영상들 웨이브로 다시보고 있답니다 사용하기도 편리하고 무엇보다 조카 애니메이션 보여줄때 티비로 바로 연결되서 큰 화면으로 보여줄 수 있어서 매우 편리하네요 다른 앱들 사용하다가도 다시 웨이브로 돌아오곤 해요 지상파 영상은 웨이브가 많아서 ㅎㅎ 웨이브로 늘 예능 드라마 영화 너무 잘보고 있어요 영화도 영화관에서 보지못한 영화 한번씩 올라 올때마다 잘 보고 있습니다ㅎㅎ
148,원래도 tv로 안보고 웨이브로 보긴했는데 이상청 보느라 요즘 맨날 들어가여 ㅎㅎ 오리지널 또 만들어주세여
149,최고
150,해외드라마를 보는데 다음회차 넘어가도 자막 음성 탭에 들어갔다가 나와야 자막이 나옵니다ㅜㅜ 오류인것같은데 수정부탁드려요ㅜ
151,애니메이션들 시리즈 다끝나게해주세요 중간에 끝나버리면 다음건 볼수도없게 했으면서 어떻게 봐요... 이런것좀 빼르게 처리해달라고했더니 안해주시네요...
152,영화나 컨텐츠가 볼거리가 많아서 좋아요 ~!
153,공개예정이 생긴건 좋은데 영화끼리 드라마끼리 모든 작품들을 한번에 볼 수 있는 것 때문에 티빙을 더 좋게 쓰고 있었는데 공개예정이 생기고 작품들을 한번에 다 모아서 볼 수 있는 창은 보이지 않더라구요..? 어떤 타이틀 같은 거에서만 모아 볼 수 있던데 개선 부탁드려요
154,다양하게 시청하고 있습니다. 새로운 신작 기대하겠습니다.
